"","site","Gatun_dist","Cano_Quebrado_dist","Trinidad_dist","Ciri_Grande_dist","min_dist","dummy","mean","year","percentage","Oceangoing","Ciri_Grande_max","Trinidad_max","Cano_Quebrado_max","Gatun_max","Ciri_Grande_min","Trinidad_min","Cano_Quebrado_min","Gatun_min","Ciri_Grande_range","Trinidad_range","Cano_Quebrado_range","Gatun_range"
"175","M2",35250.9072610082,25953.7087142782,39935.0883824051,49065.6350691072,5232.743,0,0.289271844660194,"2015",0,12427.7558013572,39,37.5,14.1,84.1,0.807,0.542,0.066,0.735,38.193,36.958,14.034,83.365
"176","M5",33941.9830761875,24698.2645427892,38758.1266695193,47900.7831866536,6519.77,0,0.289271844660194,"2015",0,12427.7558013572,39,37.5,14.1,84.1,0.807,0.542,0.066,0.735,38.193,36.958,14.034,83.365
"177","M12",33591.3561179688,24584.0846359102,38686.9480451806,47834.8959473604,6872.343,0,0.289271844660194,"2015",0,12427.7558013572,39,37.5,14.1,84.1,0.807,0.542,0.066,0.735,38.193,36.958,14.034,83.365
"178","RAP",35134.0880670639,25803.6191830836,39787.5877621464,48918.6972759373,5340.872,0,0.289271844660194,"2015",0,12427.7558013572,39,37.5,14.1,84.1,0.807,0.542,0.066,0.735,38.193,36.958,14.034,83.365
"179","RCO",35305.3240509728,25829.8646699048,39786.9547152142,48914.0403738518,5161.352,0,0.289271844660194,"2015",0,12427.7558013572,39,37.5,14.1,84.1,0.807,0.542,0.066,0.735,38.193,36.958,14.034,83.365
"180","ARN",30428.7142739255,13869.2749379916,2266.66605623771,9948.50364903185,25332.565,0,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"181","ARN",30428.7142739255,13869.2749379916,2266.66605623771,9948.50364903185,25332.565,1,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"182","BAT",20591.8953470582,20728.8132006056,17671.4322433271,20402.0152096503,10689.48,0,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"183","BAT",20591.8953470582,20728.8132006056,17671.4322433271,20402.0152096503,10689.48,1,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
"184","BCI",13614.4365716764,15252.8150983876,19186.3848092991,25216.3342469678,10988.875,0,0.339019607843137,"2016",13,11688,108,73.9,38.2,247,0.367,0.244,0.082,0.251,107.633,73.656,38.118,246.749
