"","site","depth","date","data","delta"
"888","ARN","Shallow",2003-06-24,0,0
"890","ARN","Shallow",2003-08-26,0.03,0.03
"891","ARN","Shallow",2003-09-23,0.03,0
"892","ARN","Shallow",2003-10-28,0.03,0
"893","ARN","Shallow",2003-11-25,0.03,0
"894","ARN","Shallow",2003-12-29,0.02,-0.01
"895","ARN","Shallow",2004-01-27,0.02,0
"896","ARN","Shallow",2004-02-25,0.03,0.01
"897","ARN","Shallow",2004-03-23,0.03,0
"898","ARN","Shallow",2004-04-27,0.03,0
"899","ARN","Shallow",2004-05-25,0.03,0
"900","ARN","Shallow",2004-06-22,0.02,-0.01
"901","ARN","Shallow",2004-07-27,0.03,0.01
"902","ARN","Shallow",2004-08-24,0.03,0
"903","ARN","Shallow",2004-09-28,0.03,0
"904","ARN","Shallow",2004-10-26,0.02,-0.01
"905","ARN","Shallow",2004-11-23,0.02,0
"906","ARN","Shallow",2004-12-21,0.02,0
"907","ARN","Shallow",2005-01-25,0.02,0
"908","ARN","Shallow",2005-02-22,0.03,0.01
"909","ARN","Shallow",2005-03-21,0.03,0
"910","ARN","Shallow",2005-04-27,0.03,0
"911","ARN","Shallow",2005-05-24,0.03,0
"912","ARN","Shallow",2005-06-13,0.03,0
"913","ARN","Shallow",2005-07-26,0.03,0
"914","ARN","Shallow",2005-08-26,0.03,0
"915","ARN","Shallow",2005-09-27,0.03,0
"916","ARN","Shallow",2005-10-25,0.03,0
"917","ARN","Shallow",2005-11-23,0.02,-0.01
"918","ARN","Shallow",2005-12-28,0.03,0.01
"956","BAT","Shallow",2003-04-29,0,0
"958","BAT","Shallow",2003-06-24,0,0
"960","BAT","Shallow",2003-08-27,0.04,0.04
"961","BAT","Shallow",2003-09-24,0.04,0
"962","BAT","Shallow",2003-10-30,0.04,0
"963","BAT","Shallow",2003-11-26,0.04,0
"964","BAT","Shallow",2003-12-29,0.03,-0.01
"965","BAT","Shallow",2004-01-27,0.03,0
"966","BAT","Shallow",2004-02-25,0.03,0
"967","BAT","Shallow",2004-03-24,0.04,0.01
"968","BAT","Shallow",2004-04-27,0.04,0
"969","BAT","Shallow",2004-05-25,0.03,-0.01
"970","BAT","Shallow",2004-06-23,0.04,0.01
"971","BAT","Shallow",2004-07-28,0.04,0
"972","BAT","Shallow",2004-08-25,0.04,0
"973","BAT","Shallow",2004-09-29,0.04,0
"974","BAT","Shallow",2004-10-26,0.03,-0.01
"975","BAT","Shallow",2004-11-24,0.03,0
"976","BAT","Shallow",2004-12-21,0.03,0
"977","BAT","Shallow",2005-01-26,0.03,0
"978","BAT","Shallow",2005-02-22,0.03,0
"979","BAT","Shallow",2005-03-21,0.03,0
"980","BAT","Shallow",2005-04-27,0.04,0.01
"981","BAT","Shallow",2005-05-25,0.04,0
"982","BAT","Shallow",2005-06-13,0.04,0
"983","BAT","Shallow",2005-07-26,0.04,0
"984","BAT","Shallow",2005-08-26,0.04,0
"985","BAT","Shallow",2005-09-27,0.04,0
"986","BAT","Shallow",2005-10-25,0.04,0
"987","BAT","Shallow",2005-11-23,0.04,0
"988","BAT","Shallow",2005-12-28,0.04,0
"1026","BCI","Shallow",2003-04-29,0,0
"1028","BCI","Shallow",2003-06-24,0,0
"1030","BCI","Shallow",2003-08-27,0.05,0.05
"1031","BCI","Shallow",2003-09-24,0.05,0
"1032","BCI","Shallow",2003-10-29,0.04,-0.01
"1033","BCI","Shallow",2003-11-26,0.04,0
"1034","BCI","Shallow",2003-12-30,0.04,0
"1035","BCI","Shallow",2004-01-28,0.04,0
"1036","BCI","Shallow",2004-02-26,0.04,0
"1037","BCI","Shallow",2004-03-24,0.04,0
"1038","BCI","Shallow",2004-04-28,0.04,0
"1039","BCI","Shallow",2004-05-26,0.04,0
"1040","BCI","Shallow",2004-06-23,0.04,0
"1041","BCI","Shallow",2004-07-28,0.04,0
"1042","BCI","Shallow",2004-08-25,0.04,0
"1043","BCI","Shallow",2004-09-29,0.04,0
"1044","BCI","Shallow",2004-10-27,0.04,0
"1045","BCI","Shallow",2004-11-24,0.04,0
"1046","BCI","Shallow",2004-12-22,0.03,-0.01
"1047","BCI","Shallow",2005-01-26,0.03,0
"1048","BCI","Shallow",2005-02-23,0.03,0
"1049","BCI","Shallow",2005-03-23,0.04,0.01
"1050","BCI","Shallow",2005-04-28,0.04,0
